Sipariş ID,Müşteri ID,Sipariş Tarihi,Kategori,Ürün,Birim Fiyat,Adet,İndirim Oranı,Toplam Tutar,Bölge,Ödeme Yöntemi,İade Durumu,İade Nedeni,Müşteri Puanı
ORD-10024,CUST-2872,2025-08-03,Elektronik,Laptop,18602.28,1,0.0,18602.28,Marmara,Kredi Kartı,False,,1
ORD-10025,CUST-4601,2025-06-28,Ev & Yaşam,Halı,2618.88,5,0.15,11130.24,Güneydoğu Anadolu,Banka Kartı,True,Geç Teslimat,2
ORD-10026,CUST-4816,2026-01-28,Elektronik,Kulaklık,10946.4,1,0.04,10508.54,Marmara,Kredi Kartı,False,,3
ORD-10027,CUST-3070,2025-10-31,Ev & Yaşam,Mutfak Robotu,1046.74,4,0.01,4145.09,Marmara,Kredi Kartı,False,,2
ORD-10028,CUST-4036,2025-10-07,Spor,Bisiklet,195.73,1,0.17,162.46,Marmara,Kredi Kartı,False,,5
ORD-10029,CUST-1606,2025-10-01,Giyim,Tişört,685.69,1,0.05,651.41,Marmara,Kredi Kartı,False,,4
ORD-10030,CUST-4988,2026-01-06,Giyim,Kazak,1742.75,2,0.01,3450.64,Akdeniz,Kredi Kartı,False,,2
ORD-10031,CUST-2092,2025-05-15,Elektronik,Tablet,34950.59,2,0.0,69901.18,Karadeniz,Kredi Kartı,False,,2
ORD-10032,CUST-1913,2025-03-07,Giyim,Spor Ayakkabı,723.7,1,0.07,673.04,İç Anadolu,Kredi Kartı,False,,5
ORD-10033,CUST-2356,2025-03-09,Elektronik,Klavye,7553.43,2,0.0,15106.86,İç Anadolu,Kredi Kartı,False,,4
ORD-10034,CUST-3483,2025-11-11,Elektronik,Tablet,36030.44,1,0.0,36030.44,Akdeniz,Kredi Kartı,False,,5
ORD-10035,CUST-3813,2026-02-01,Giyim,Ayakkabı,919.47,3,0.17,2289.48,Marmara,Kapıda Ödeme,False,,4
ORD-10036,CUST-2336,2025-09-17,Ev & Yaşam,Sandalye,2171.13,4,0.09,7902.91,Akdeniz,Kredi Kartı,False,,4
ORD-10037,CUST-3244,2025-02-23,Ev & Yaşam,Halı,3389.69,5,0.08,15592.57,Ege,Banka Kartı,False,,2
ORD-10038,CUST-3698,2025-04-07,Ev & Yaşam,Sandalye,10058.65,5,0.0,50293.25,Karadeniz,Banka Kartı,False,,2
ORD-10039,CUST-4303,2025-06-04,Giyim,Tişört,187.81,4,0.19,608.5,Ege,Havale/EFT,False,,4
ORD-10040,CUST-3024,2025-09-15,Giyim,Ceket,1346.51,1,0.22,1050.28,Doğu Anadolu,Banka Kartı,False,,5
ORD-10041,CUST-2902,2025-03-20,Giyim,Pantolon,967.28,4,0.25,2901.84,İç Anadolu,Kapıda Ödeme,False,,5
ORD-10042,CUST-4338,2025-11-08,Spor,Bisiklet,4514.54,2,0.12,7945.59,Marmara,Kredi Kartı,False,,5
ORD-10043,CUST-2984,2026-01-09,Giyim,Gömlek,935.76,3,0.0,2807.28,Marmara,Havale/EFT,False,,2
ORD-10044,CUST-1947,2025-09-07,Giyim,Kazak,222.03,4,0.0,888.12,Ege,Kredi Kartı,False,,4
ORD-10045,CUST-4706,2025-12-19,Elektronik,Tablet,19340.7,2,0.0,38681.4,Marmara,Havale/EFT,False,,5
ORD-10046,CUST-4061,2025-11-29,Giyim,Mont,516.9,4,0.0,2067.6,Marmara,Banka Kartı,False,,2
ORD-10047,CUST-4442,2025-10-20,Giyim,Tişört,1823.16,5,0.0,9115.8,Marmara,Banka Kartı,False,,4
ORD-10048,CUST-1744,2025-03-20,Ev & Yaşam,Masa,5112.08,4,0.0,20448.32,Akdeniz,Kredi Kartı,False,,4
ORD-10049,CUST-2033,2025-04-05,Spor,Dambıl,7515.34,1,0.09,6838.96,İç Anadolu,Banka Kartı,False,,1
ORD-10050,CUST-4889,2025-06-29,Giyim,Tişört,1280.54,2,0.0,2561.08,İç Anadolu,Kredi Kartı,False,,3
ORD-10051,CUST-4141,2025-08-30,Giyim,Pantolon,1577.8,2,0.03,3060.93,Marmara,Kredi Kartı,False,,4
ORD-10052,CUST-2624,2025-06-04,Elektronik,Monitör,4525.1,2,0.15,7692.67,Marmara,Kapıda Ödeme,False,,3
ORD-10053,CUST-3182,2025-09-30,Ev & Yaşam,Kahve Makinesi,7737.62,3,0.0,23212.86,Ege,Kredi Kartı,False,,3
ORD-10054,CUST-3603,2025-10-16,Giyim,Spor Ayakkabı,434.66,5,0.07,2021.17,Karadeniz,Kredi Kartı,False,,4
ORD-10055,CUST-4382,2025-12-23,Ev & Yaşam,Halı,12820.18,1,0.0,12820.18,Ege,Banka Kartı,False,,4
ORD-10056,CUST-2377,2025-03-09,Spor,Koşu Bandı,1900.21,2,0.0,3800.42,Marmara,Kredi Kartı,False,,3
ORD-10057,CUST-3276,2025-02-28,Giyim,Pantolon,558.58,4,0.0,2234.32,Akdeniz,Banka Kartı,False,,4
ORD-10058,CUST-2835,2025-03-03,Elektronik,Klavye,9253.06,1,0.0,9253.06,İç Anadolu,Kredi Kartı,False,,4
ORD-10059,CUST-4055,2025-12-01,Ev & Yaşam,Halı,10631.97,3,0.0,31895.91,Marmara,Banka Kartı,False,,5
ORD-10060,CUST-4894,2026-02-11,Giyim,Kazak,511.13,4,0.0,2044.52,İç Anadolu,Banka Kartı,False,,1
ORD-10061,CUST-4410,2025-06-02,Ev & Yaşam,Robot Süpürge,5604.95,3,0.0,16814.85,Ege,Kredi Kartı,False,,5
ORD-10062,CUST-2196,2026-02-15,Giyim,Mont,294.92,1,0.0,294.92,Ege,Kredi Kartı,False,,1
ORD-10063,CUST-2034,2025-10-25,Elektronik,Akıllı Telefon,16327.94,1,0.0,16327.94,İç Anadolu,Kredi Kartı,False,,3
ORD-10064,CUST-1348,2025-06-30,Elektronik,Tablet,24449.55,1,0.1,22004.6,Doğu Anadolu,Kredi Kartı,False,,4
ORD-10065,CUST-2250,2025-12-11,Elektronik,Akıllı Telefon,37929.81,1,0.07,35274.72,Marmara,Kredi Kartı,False,,2
ORD-10066,CUST-1010,2025-09-20,Spor,Kamp Çadırı,5978.73,3,0.0,17936.19,Marmara,Kredi Kartı,False,,1
ORD-10067,CUST-3815,2025-06-22,Ev & Yaşam,Mutfak Robotu,11931.34,5,0.23,45935.66,Ege,Kredi Kartı,False,,3
ORD-10068,CUST-4385,2025-05-06,Elektronik,Laptop,7053.95,2,0.0,14107.9,Karadeniz,Kapıda Ödeme,False,,4
ORD-10069,CUST-3820,2025-07-28,Spor,Koşu Bandı,5054.67,4,0.0,20218.68,İç Anadolu,Havale/EFT,False,,5
ORD-10070,CUST-2025,2025-03-08,Elektronik,Monitör,38495.49,1,0.17,31951.26,Marmara,Kredi Kartı,False,,4
ORD-10071,CUST-3125,2026-01-22,Spor,Koşu Bandı,1896.74,5,0.0,9483.7,Karadeniz,Kapıda Ödeme,False,,4
ORD-10072,CUST-2365,2025-08-06,Elektronik,Kulaklık,13527.24,2,0.0,27054.48,Doğu Anadolu,Havale/EFT,False,,4
ORD-10073,CUST-1360,2025-08-03,Ev & Yaşam,Halı,2004.05,4,0.21,6332.8,Marmara,Havale/EFT,False,,1
ORD-10074,CUST-1768,2025-11-15,Ev & Yaşam,Sandalye,11419.71,4,0.05,43394.9,Ege,Kapıda Ödeme,False,,4
ORD-10075,CUST-1497,2025-03-09,Giyim,Ceket,690.43,1,0.0,690.43,Marmara,Kapıda Ödeme,False,,4
ORD-10076,CUST-4879,2025-04-24,Giyim,Mont,1872.04,3,0.0,5616.12,Marmara,Havale/EFT,False,,2
ORD-10077,CUST-2870,2025-12-02,Giyim,Spor Ayakkabı,462.16,5,0.0,2310.8,Karadeniz,Havale/EFT,False,,4
ORD-10078,CUST-2392,2025-11-09,Ev & Yaşam,Mutfak Robotu,337.71,3,0.14,871.29,İç Anadolu,Havale/EFT,False,,4
ORD-10079,CUST-2413,2025-08-12,Spor,Spor Çantası,9335.24,2,0.06,17550.25,Marmara,Havale/EFT,False,,3
ORD-10080,CUST-4050,2025-10-23,Spor,Spor Çantası,9885.3,2,0.0,19770.6,Marmara,Kredi Kartı,False,,1
ORD-10081,CUST-4580,2025-10-06,Elektronik,Akıllı Saat,1106.23,1,0.0,1106.23,İç Anadolu,Kredi Kartı,False,,3
ORD-10082,CUST-2386,2026-01-08,Spor,Kamp Çadırı,895.12,3,0.21,2121.43,Marmara,Kredi Kartı,False,,4
ORD-10083,CUST-4573,2025-11-27,Elektronik,Akıllı Telefon,9773.42,2,0.19,15832.94,Ege,Kredi Kartı,False,,1
ORD-10084,CUST-2817,2025-05-19,Ev & Yaşam,Kahve Makinesi,976.07,1,0.0,976.07,Marmara,Kredi Kartı,False,,5
ORD-10085,CUST-3792,2025-05-26,Giyim,Ceket,250.04,4,0.06,940.15,Doğu Anadolu,Kredi Kartı,False,,3
ORD-10086,CUST-2882,2025-07-03,Elektronik,Akıllı Saat,36097.77,1,0.0,36097.77,Doğu Anadolu,Kapıda Ödeme,False,,4
ORD-10087,CUST-3827,2025-07-01,Spor,Koşu Bandı,2072.25,4,0.03,8040.33,Marmara,Kredi Kartı,False,,3
ORD-10088,CUST-1089,2026-01-26,Spor,Koşu Bandı,180.17,1,0.19,145.94,Karadeniz,Kapıda Ödeme,False,,2
ORD-10089,CUST-3486,2025-08-22,Giyim,Kazak,1279.69,2,0.23,1970.72,İç Anadolu,Kredi Kartı,False,,5
ORD-10090,CUST-2494,2025-05-01,Elektronik,Klavye,13405.41,2,0.0,26810.82,Marmara,Kredi Kartı,False,,5
ORD-10091,CUST-3055,2025-07-12,Giyim,Gömlek,1836.69,4,0.07,6832.49,Karadeniz,Havale/EFT,False,,1
ORD-10092,CUST-1576,2025-06-18,Spor,Bisiklet,3721.17,4,0.0,14884.68,Ege,Kredi Kartı,False,,3
ORD-10093,CUST-3394,2025-09-06,Ev & Yaşam,Kahve Makinesi,10220.1,4,0.0,40880.4,Doğu Anadolu,Kredi Kartı,False,,2
ORD-10094,CUST-3652,2025-03-27,Spor,Kamp Çadırı,3091.68,4,0.0,12366.72,Marmara,Kredi Kartı,False,,1
ORD-10095,CUST-1398,2025-06-23,Giyim,Spor Ayakkabı,961.92,5,0.0,4809.6,Akdeniz,Kredi Kartı,False,,1
ORD-10096,CUST-4414,2025-10-31,Spor,Koşu Bandı,423.89,3,0.0,1271.67,Ege,Kredi Kartı,False,,3
ORD-10097,CUST-3230,2026-01-19,Ev & Yaşam,Kahve Makinesi,6152.65,2,0.24,9352.03,Karadeniz,Kredi Kartı,False,,5
ORD-10098,CUST-4977,2025-03-05,Elektronik,Mouse,10120.97,1,0.05,9614.92,Karadeniz,Kredi Kartı,False,,2
ORD-10099,CUST-2345,2025-05-09,Elektronik,Klavye,34407.04,1,0.14,29590.05,Akdeniz,Kredi Kartı,False,,2
ORD-10100,CUST-1060,2025-08-25,Giyim,Ayakkabı,129.98,3,0.0,389.94,Akdeniz,Kredi Kartı,False,,4
ORD-10101,CUST-2836,2025-08-27,Elektronik,Akıllı Saat,20401.63,1,0.23,15709.26,İç Anadolu,Kredi Kartı,False,,1
ORD-10102,CUST-1249,2025-10-26,Spor,Spor Çantası,6892.37,4,0.11,24536.84,Doğu Anadolu,Kredi Kartı,False,,2
ORD-10103,CUST-2126,2026-01-08,Ev & Yaşam,Masa,14921.03,5,0.0,74605.15,Ege,Kredi Kartı,False,,1
ORD-10104,CUST-4493,2026-01-24,Giyim,Spor Ayakkabı,957.95,2,0.0,1915.9,Karadeniz,Kredi Kartı,False,,3
ORD-10105,CUST-2748,2025-08-02,Ev & Yaşam,Halı,14317.81,4,0.0,57271.24,Karadeniz,Kredi Kartı,False,,3
ORD-10106,CUST-4325,2025-04-30,Elektronik,Mouse,26965.52,2,0.0,53931.04,İç Anadolu,Banka Kartı,False,,1
ORD-10107,CUST-4966,2025-07-20,Ev & Yaşam,Halı,1822.93,5,0.0,9114.65,İç Anadolu,Kredi Kartı,False,,5
ORD-10108,CUST-2505,2025-04-22,Ev & Yaşam,Sandalye,3624.54,4,0.24,11018.6,Karadeniz,Banka Kartı,False,,1
ORD-10109,CUST-3494,2026-01-25,Ev & Yaşam,Kahve Makinesi,2952.12,3,0.09,8059.29,Marmara,Kredi Kartı,False,,1
ORD-10110,CUST-1581,2026-01-13,Elektronik,Akıllı Telefon,29971.41,1,0.0,29971.41,Ege,Kredi Kartı,False,,3
ORD-10111,CUST-4181,2025-12-10,Elektronik,Laptop,6645.41,1,0.07,6180.23,İç Anadolu,Kredi Kartı,False,,3
ORD-10112,CUST-1882,2025-11-12,Elektronik,Mouse,17481.59,2,0.15,29718.7,Ege,Kredi Kartı,False,,5
ORD-10113,CUST-1224,2025-02-26,Giyim,Gömlek,1896.12,2,0.07,3526.78,Marmara,Kredi Kartı,False,,2
ORD-10114,CUST-2557,2025-11-22,Giyim,Ayakkabı,236.94,1,0.0,236.94,Ege,Kredi Kartı,False,,4
ORD-10115,CUST-3348,2025-09-18,Spor,Koşu Bandı,1240.22,1,0.04,1190.61,Doğu Anadolu,Kredi Kartı,False,,3
ORD-10116,CUST-1360,2025-10-04,Elektronik,Monitör,17709.22,2,0.0,35418.44,Marmara,Kredi Kartı,False,,3
ORD-10117,CUST-4191,2025-05-20,Elektronik,Akıllı Telefon,21458.89,1,0.09,19527.59,Akdeniz,Havale/EFT,False,,2
ORD-10118,CUST-1421,2025-05-08,Ev & Yaşam,Robot Süpürge,2850.44,2,0.16,4788.74,Marmara,Banka Kartı,False,,5
ORD-10119,CUST-4112,2025-12-16,Spor,Kamp Çadırı,9249.13,5,0.25,34684.24,Marmara,Kapıda Ödeme,False,,4
ORD-10120,CUST-1279,2025-10-21,Spor,Kamp Çadırı,3097.92,3,0.0,9293.76,Marmara,Kredi Kartı,False,,1
ORD-10121,CUST-1233,2025-08-30,Ev & Yaşam,Kahve Makinesi,9776.6,1,0.13,8505.64,Ege,Kredi Kartı,False,,1
ORD-10122,CUST-2842,2025-12-12,Giyim,Ayakkabı,1249.51,5,0.0,6247.55,Marmara,Kredi Kartı,False,,3
ORD-10123,CUST-3925,2025-04-07,Giyim,Tişört,570.71,4,0.13,1986.07,İç Anadolu,Kredi Kartı,False,,4
ORD-10124,CUST-2674,2025-08-15,Elektronik,Mouse,3103.52,1,0.0,3103.52,Marmara,Kredi Kartı,False,,5
ORD-10125,CUST-4576,2025-05-10,Ev & Yaşam,Kahve Makinesi,8866.27,2,0.08,16313.94,İç Anadolu,Banka Kartı,False,,1
ORD-10126,CUST-2268,2025-12-06,Spor,Kamp Çadırı,7937.45,2,0.21,12541.17,Akdeniz,Banka Kartı,False,,4
ORD-10127,CUST-3082,2025-08-27,Elektronik,Mouse,12700.21,1,0.0,12700.21,Akdeniz,Kredi Kartı,False,,2
ORD-10128,CUST-1316,2025-07-24,Elektronik,Laptop,26646.2,1,0.0,26646.2,Marmara,Kredi Kartı,False,,5
ORD-10129,CUST-4313,2025-05-18,Spor,Dambıl,4167.5,2,0.15,7084.75,Akdeniz,Banka Kartı,False,,2
ORD-10130,CUST-2267,2025-10-21,Giyim,Ayakkabı,1388.78,5,0.12,6110.63,Marmara,Kredi Kartı,False,,2
ORD-10131,CUST-4345,2025-06-05,Giyim,Gömlek,199.14,4,0.14,685.04,Marmara,Havale/EFT,False,,3
ORD-10132,CUST-1343,2025-05-16,Ev & Yaşam,Masa,13608.0,2,0.02,26671.68,Doğu Anadolu,Havale/EFT,False,,1
ORD-10133,CUST-2699,2025-03-22,Spor,Bisiklet,3802.22,4,0.09,13840.08,Marmara,Kapıda Ödeme,False,,3
ORD-10134,CUST-4241,2025-05-08,Giyim,Tişört,645.07,4,0.03,2502.87,Akdeniz,Kredi Kartı,True,Beden Uymadı,1
ORD-10135,CUST-2048,2025-06-13,Giyim,Spor Ayakkabı,311.26,3,0.0,933.78,Marmara,Kredi Kartı,False,,5
ORD-10136,CUST-2872,2025-03-27,Elektronik,Akıllı Saat,24071.19,1,0.14,20701.22,Akdeniz,Kredi Kartı,True,Vazgeçtim,1
ORD-10137,CUST-3337,2025-09-24,Giyim,Pantolon,1094.62,3,0.0,3283.86,Ege,Kredi Kartı,False,,5
ORD-10138,CUST-1083,2025-09-10,Spor,Dambıl,6393.14,3,0.0,19179.42,Marmara,Banka Kartı,False,,1
ORD-10139,CUST-4160,2025-12-17,Ev & Yaşam,Robot Süpürge,951.73,5,0.0,4758.65,İç Anadolu,Havale/EFT,False,,4
ORD-10140,CUST-3587,2025-05-27,Giyim,Pantolon,1460.49,4,0.0,5841.96,Marmara,Banka Kartı,False,,3
ORD-10141,CUST-4823,2025-07-31,Spor,Bisiklet,4786.66,1,0.05,4547.33,Marmara,Banka Kartı,False,,3
ORD-10142,CUST-2119,2025-04-27,Ev & Yaşam,Masa,13375.45,4,0.1,48151.62,Güneydoğu Anadolu,Kredi Kartı,False,,5
ORD-10143,CUST-2092,2025-04-06,Spor,Dambıl,4363.01,2,0.0,8726.02,Marmara,Kredi Kartı,False,,3
ORD-10144,CUST-2826,2025-12-28,Spor,Yoga Matı,6928.67,3,0.0,20786.01,Akdeniz,Kapıda Ödeme,False,,4
ORD-10145,CUST-2124,2026-01-16,Elektronik,Akıllı Telefon,27011.76,2,0.0,54023.52,Karadeniz,Banka Kartı,False,,2
ORD-10146,CUST-4476,2025-12-31,Spor,Dambıl,1349.68,2,0.09,2456.42,Marmara,Kredi Kartı,False,,4
ORD-10147,CUST-4886,2025-08-31,Ev & Yaşam,Masa,11517.34,5,0.0,57586.7,Marmara,Kredi Kartı,False,,1
ORD-10148,CUST-1106,2025-05-29,Spor,Bisiklet,3931.18,5,0.0,19655.9,Akdeniz,Banka Kartı,False,,5
ORD-10149,CUST-2169,2026-02-13,Spor,Yoga Matı,1314.11,1,0.0,1314.11,Doğu Anadolu,Kredi Kartı,False,,3
ORD-10150,CUST-3735,2025-08-19,Elektronik,Klavye,35707.6,1,0.23,27494.85,İç Anadolu,Banka Kartı,False,,1
ORD-10151,CUST-1823,2025-05-05,Giyim,Mont,149.94,5,0.0,749.7,Ege,Kapıda Ödeme,False,,1
ORD-10152,CUST-1269,2025-07-31,Spor,Kamp Çadırı,7216.81,5,0.0,36084.05,Ege,Kredi Kartı,False,,3
ORD-10153,CUST-3631,2025-04-01,Spor,Spor Çantası,6833.08,3,0.0,20499.24,Karadeniz,Kredi Kartı,False,,2
ORD-10154,CUST-2772,2025-11-07,Elektronik,Akıllı Telefon,20965.03,2,0.0,41930.06,Marmara,Banka Kartı,False,,5
ORD-10155,CUST-4665,2025-07-18,Elektronik,Klavye,8253.93,2,0.0,16507.86,Marmara,Kredi Kartı,False,,2
ORD-10156,CUST-3424,2025-12-17,Giyim,Ceket,1351.59,5,0.0,6757.95,Doğu Anadolu,Kredi Kartı,False,,1
ORD-10157,CUST-1186,2026-01-17,Ev & Yaşam,Lamba,3398.88,5,0.0,16994.4,İç Anadolu,Kredi Kartı,False,,3
ORD-10158,CUST-3629,2025-07-27,Spor,Yoga Matı,8066.41,4,0.0,32265.64,Marmara,Kredi Kartı,False,,4
ORD-10159,CUST-2902,2025-06-07,Ev & Yaşam,Sandalye,2411.93,3,0.22,5643.92,Güneydoğu Anadolu,Kredi Kartı,False,,5
ORD-10160,CUST-1434,2025-08-05,Giyim,Mont,332.79,4,0.0,1331.16,Marmara,Kredi Kartı,False,,5
ORD-10161,CUST-2712,2025-06-30,Giyim,Ayakkabı,1874.13,3,0.0,5622.39,Marmara,Kapıda Ödeme,False,,3
ORD-10162,CUST-3037,2025-03-06,Elektronik,Tablet,20465.06,1,0.0,20465.06,Marmara,Kredi Kartı,False,,4
ORD-10163,CUST-2170,2025-11-24,Elektronik,Akıllı Telefon,17521.65,2,0.19,28385.07,Marmara,Kredi Kartı,False,,2
ORD-10164,CUST-2484,2025-12-03,Ev & Yaşam,Kahve Makinesi,5979.33,4,0.07,22243.11,Güneydoğu Anadolu,Banka Kartı,False,,1
ORD-10165,CUST-2613,2025-09-02,Ev & Yaşam,Sandalye,14102.54,2,0.0,28205.08,Ege,Kredi Kartı,True,Kusurlu Ürün,3
ORD-10166,CUST-2364,2025-10-23,Spor,Yoga Matı,6101.98,5,0.0,30509.9,Doğu Anadolu,Kredi Kartı,False,,5
ORD-10167,CUST-4028,2025-07-26,Ev & Yaşam,Sandalye,12475.85,5,0.0,62379.25,İç Anadolu,Kredi Kartı,True,Vazgeçtim,3
ORD-10168,CUST-1448,2025-09-24,Ev & Yaşam,Mutfak Robotu,13511.88,1,0.0,13511.88,Marmara,Banka Kartı,False,,5
ORD-10169,CUST-3365,2025-06-19,Elektronik,Akıllı Saat,7235.23,2,0.0,14470.46,İç Anadolu,Kredi Kartı,False,,1
ORD-10170,CUST-1781,2025-03-04,Spor,Koşu Bandı,4245.92,4,0.1,15285.31,Akdeniz,Kapıda Ödeme,False,,1
ORD-10171,CUST-3890,2025-05-04,Giyim,Ayakkabı,1996.43,4,0.0,7985.72,Marmara,Kredi Kartı,False,,3
ORD-10172,CUST-3237,2025-08-23,Ev & Yaşam,Sandalye,7417.45,2,0.0,14834.9,Marmara,Kapıda Ödeme,False,,3
ORD-10173,CUST-3887,2025-06-09,Spor,Koşu Bandı,4850.05,5,0.2,19400.2,Marmara,Kredi Kartı,False,,4
ORD-10174,CUST-4669,2025-09-13,Ev & Yaşam,Mutfak Robotu,12127.85,3,0.0,36383.55,Güneydoğu Anadolu,Kredi Kartı,False,,3
ORD-10175,CUST-4061,2025-10-26,Giyim,Kazak,1673.11,3,0.17,4166.04,Marmara,Banka Kartı,False,,2
ORD-10176,CUST-1207,2026-01-31,Giyim,Kazak,199.73,4,0.0,798.92,Ege,Banka Kartı,False,,5
ORD-10177,CUST-4805,2025-05-14,Spor,Kamp Çadırı,9356.82,4,0.0,37427.28,Marmara,Kapıda Ödeme,False,,1
ORD-10178,CUST-4718,2025-04-09,Giyim,Tişört,1835.14,2,0.0,3670.28,Karadeniz,Kapıda Ödeme,True,Görselden Farklı,2
ORD-10179,CUST-1763,2025-07-21,Elektronik,Laptop,12286.49,1,0.08,11303.57,Ege,Banka Kartı,False,,2
ORD-10180,CUST-4485,2025-11-08,Spor,Koşu Bandı,2008.83,1,0.0,2008.83,Akdeniz,Banka Kartı,False,,1
ORD-10181,CUST-4017,2025-08-14,Ev & Yaşam,Sandalye,10213.7,2,0.0,20427.4,Karadeniz,Havale/EFT,False,,5
ORD-10182,CUST-2343,2025-04-08,Spor,Kamp Çadırı,1044.31,2,0.0,2088.62,Doğu Anadolu,Kredi Kartı,False,,4
ORD-10183,CUST-4087,2025-07-09,Ev & Yaşam,Halı,8862.17,5,0.0,44310.85,İç Anadolu,Banka Kartı,True,Beden Uymadı,2
ORD-10184,CUST-2256,2025-05-15,Spor,Kamp Çadırı,5074.95,3,0.16,12788.87,Doğu Anadolu,Kredi Kartı,False,,2
ORD-10185,CUST-2958,2025-05-12,Spor,Kamp Çadırı,9889.5,3,0.0,29668.5,Ege,Kredi Kartı,False,,2
ORD-10186,CUST-4120,2025-06-29,Elektronik,Akıllı Saat,21362.84,2,0.0,42725.68,İç Anadolu,Kredi Kartı,False,,5
ORD-10187,CUST-1828,2025-12-13,Giyim,Ceket,723.42,5,0.0,3617.1,İç Anadolu,Banka Kartı,False,,5
ORD-10188,CUST-2824,2025-03-23,Spor,Yoga Matı,5181.15,4,0.0,20724.6,İç Anadolu,Banka Kartı,False,,1
ORD-10189,CUST-2621,2025-07-03,Elektronik,Monitör,23343.29,1,0.0,23343.29,Akdeniz,Kredi Kartı,True,Beden Uymadı,2
ORD-10190,CUST-1129,2025-07-19,Spor,Yoga Matı,7712.82,4,0.0,30851.28,Doğu Anadolu,Kredi Kartı,False,,4
ORD-10191,CUST-2538,2025-04-05,Giyim,Ayakkabı,325.4,5,0.0,1627.0,Marmara,Kapıda Ödeme,False,,1
ORD-10192,CUST-2222,2025-10-18,Spor,Bisiklet,3854.84,2,0.0,7709.68,Marmara,Kredi Kartı,False,,1
ORD-10193,CUST-1131,2026-01-27,Spor,Bisiklet,7683.93,1,0.0,7683.93,Marmara,Kredi Kartı,False,,1
ORD-10194,CUST-2002,2025-03-17,Spor,Spor Çantası,2419.96,2,0.19,3920.34,Marmara,Kapıda Ödeme,False,,5
